"model_id","team_abbr","model_abbr","team_name","model_name","designated_model","methods","methods_long","ensemble_of_models","mechanistic","ai_ml","stat"
"Google_SAI-FluBoostQR","Google_SAI","FluBoostQR","Google Science AI","FluBoostQR",TRUE,"this model uses lightgbm to generate probabilistic forecasts, training a separate gradient boosting model for each of the 23 required quantile levels. key input features include 1 and 52-week lagged influenza admissions, cyclical time features (year, seasonal week encodings), location, and population. the models are trained on simulated historical forecast scenarios to learn from past data structures. uncertainty is directly represented by the collection of quantile predictions, and final predictions are post-processed for non-negativity and monotonicity. spatial correlation between locations is not explicitly modeled.","This model uses LightGBM to generate probabilistic forecasts, training a separate gradient boosting model for each of the 23 required quantile levels. Key input features include 1 and 52-week lagged influenza admissions, cyclical time features (year, seasonal week encodings), location, and population. The models are trained on simulated historical forecast scenarios to learn from past data structures. Uncertainty is directly represented by the collection of quantile predictions, and final predictions are post-processed for non-negativity and monotonicity. Spatial correlation between locations is not explicitly modeled.",TRUE,FALSE,TRUE,FALSE
"Google_SAI-FluEns","Google_SAI","FluEns","Google Science AI","FluEnsemble",TRUE,"an esemble of a diverse set of models; ml, mechanistic, and statistical.","An esemble of a diverse set of models; ML, mechanistic, and statistical.",TRUE,TRUE,FALSE,TRUE
"GT-FluFNP","GT","FluFNP","GT-AdityaLab","FluFNP",TRUE,"integrate the knowledge and uncertainty from each data view in a dynamic context-specific manner assigning more importance to useful views to model a well-calibrated forecast distribution","Integrate the knowledge and uncertainty from each data view in a dynamic context-specific manner assigning more importance to useful views to model a well-calibrated forecast distribution",FALSE,FALSE,FALSE,TRUE
"ISU_NiemiLab-ENS","ISU_NiemiLab","ENS","ISU_NiemiLab","Nonlinear ASG hierarchical model with discrepancy",FALSE,"nonlinear model","nonlinear model",TRUE,FALSE,FALSE,TRUE
"ISU_NiemiLab-GPE","ISU_NiemiLab","GPE","ISU_NiemiLab","Gibbs posterior optimal linear pool ensemble",TRUE,"nonlinear model","nonlinear model",FALSE,FALSE,FALSE,TRUE
"ISU_NiemiLab-NLH","ISU_NiemiLab","NLH","ISU_NiemiLab","Nonlinear ASG hierarchical model with discrepancy",TRUE,"nonlinear model","nonlinear model",FALSE,FALSE,FALSE,TRUE
"ISU_NiemiLab-SIR","ISU_NiemiLab","SIR","ISU_NiemiLab","Nonlinear ASG hierarchical model with discrepancy",FALSE,"nonlinear model","nonlinear model",FALSE,FALSE,FALSE,TRUE
"JHUAPL-DMD","JHUAPL","DMD","Johns Hopkins University Applied Physics Laboratory","Dynamic mode decomposition",TRUE,"a sliding window is used to construct an temporally local approximation of the koopman operator. time-delays and radial basis functions are used for the lifting to function space. all states (and d.c. + p.r.) are used to construct the approximation of the koopman operator to estimate couplings/correlations. gaussian noise, of variance estiamted from previous years, is used to sample possible variants of the data to approximate the forecast percentiles.","A sliding window is used to construct an temporally local approximation of the Koopman operator. Time-delays and radial basis functions are used for the lifting to function space. All states (and D.C. + P.R.) are used to construct the approximation of the Koopman operator to estimate couplings/correlations. Gaussian noise, of variance estiamted from previous years, is used to sample possible variants of the data to approximate the forecast percentiles.",FALSE,FALSE,FALSE,TRUE
"JHUAPL-Morris","JHUAPL","Morris","Johns Hopkins University Applied Physics Laboratory","Morris",TRUE,"this model uses a neural hierarchical interpolation for time series (n-hits) architecture to forecast influenza hospitalizations by state. it's trained on weekly data from the national healthcare safety network, incorporating time encodings and state-specific features. the model employs a novel weighted interval score (wis) loss function, enabling probabilistic forecasts that balance accuracy and uncertainty quantification. hyperparameter optimization is performed using a bayesian surrogate model.","This model uses a Neural Hierarchical Interpolation for Time Series (N-HiTS) architecture to forecast influenza hospitalizations by state. It's trained on weekly data from the National Healthcare Safety Network, incorporating time encodings and state-specific features. The model employs a novel Weighted Interval Score (WIS) loss function, enabling probabilistic forecasts that balance accuracy and uncertainty quantification. Hyperparameter optimization is performed using a Bayesian surrogate model.",FALSE,FALSE,TRUE,TRUE
"JHU_CSSE-CSSE_Ensemble","JHU_CSSE","CSSE_Ensemble","The Center for Systems Science and Engineering at Johns Hopkins University","CSSE Ensemble",TRUE,"this model forecasts state-level influenza hospitalizations using a combination of time series forecasting methods, organized across three hierarchical levels. at the individual state level, forecasts are generated using holt-winters exponential smoothing. for regional predictions, which group states based on recent flu activity trends identified through the louvain method, long short-term memory (lstm) models are employed. additionally, a lstm model that covers all states is implemented. these three-tiered model outputs are integrated, selecting weights based on their recent performance in terms of mean absolute error (mae) to produce the final prediction.","This model forecasts state-level influenza hospitalizations using a combination of time series forecasting methods, organized across three hierarchical levels. At the individual state level, forecasts are generated using Holt-Winters Exponential Smoothing. For regional predictions, which group states based on recent flu activity trends identified through the Louvain method, Long Short-Term Memory (LSTM) models are employed. Additionally, a LSTM model that covers all states is implemented. These three-tiered model outputs are integrated, selecting weights based on their recent performance in terms of Mean Absolute Error (MAE) to produce the final prediction.",TRUE,FALSE,TRUE,TRUE
"LosAlamos-DoSiDo","LosAlamos","DoSiDo","Los Alamos National Lab","Synthetic method of analogues for emerging infectious disease forecasting",TRUE,"comparison of data to nearest analogues of the trajectory. uncertainty is generated through an ensemble of nearest analogues to the target data.","Comparison of data to nearest analogues of the trajectory. Uncertainty is generated through an ensemble of nearest analogues to the target data.",FALSE,FALSE,FALSE,TRUE
"LosAlamos-ThinMint","LosAlamos","ThinMint","Los Alamos National Lab","Transformer-based forecasting",TRUE,"transformer model using lagged context window","Transformer model using lagged context window",FALSE,FALSE,FALSE,TRUE
"LosAlamos_NAU-CModel_Flu","LosAlamos_NAU","CModel_Flu","Los Alamos National Lab and Northern Arizona University","Compartmental Model with Bayesian Inference",TRUE,"we employed a compartmental model that features a time-dependent transmission rate as the base model. using bayesian inference, we parametrize the transmission rate from hospitalization data using pybnf. subsequent steps involved uncertainty quantification and model calibration.","We employed a compartmental model that features a time-dependent transmission rate as the base model. Using Bayesian inference, we parametrize the transmission rate from hospitalization data using pyBNF. Subsequent steps involved uncertainty quantification and model calibration.",FALSE,TRUE,FALSE,TRUE
"LUcompUncertLab-chimera","LUcompUncertLab","chimera","LUcompUncertLab","chimera",FALSE,"2023-10-11: seirh model variant was fit bc km27 model was not yet complete. 2023-10-12: km27 model is completed and ready for training/submission for the following week. 2023-10-18: km27 model was incorrect last week. i spernt the entire week correcting the model. thete is a final bug in the mehtod i use to aggregate from day forecasts to week forecasts. i will need to solve this bug before the next submission date. 2023-11-01:corrected km27 and added in knowledge about flu: r0 is constrained to be between 1.1 and 2.5, vaccine proprtion is between 0.2 and 0.8. generatioanl interval is neg bin and on average 3.6 days. changed from normal observational process to gammapoisson. the gp is good but very computationally slow. still cranky about how sensitive this model is to changes. this round ill try to focus on assigning seasons to distinct clusters. 2023-11-08:added in priors for peak intensity and timing, and for the first two weeks of the season (mmwr 40 and 41). this adds stability to the model and speed. 2023-11-23:found two major bugs in the code. one is frustrating and the other very subtle. first bug was training on hospitalization data the same as last year. i missed the message about a change in the hosp data and so have been training my model on the wrong data up until now. the second bug is a subtle fix in the code that took some time to find. 2023-12-09: added back qo data, truncated to be two weeks before the forecast submission date. forecasts look ok except for fip=72. i'll need to investigate. 2023-12-16: ran versions without and without the qo data. for the majority of locations i chose the model that included qo data. there were 3 locations, 30,37,56 where i thought the model without qo data was better and so chose those forecasts instead. 2023-12-30: not much to report. still running a few slightly different versions of the model and then hand picking which model to submit for which location. 2024-03-20: not in love with loc 2 but otherwise forecasts look ok 2024-11-17: new model up and running. looks like good results visually. 2024-11-27: didnt have much time to work on hosp forecasts this week. need to account for these outlier states. 2024-12-04: forecasts look ok for the most part. some discrepancies in states. didnt have time to improve the model this week. 2025-01-08:made pretty significant updates a few weeks ago that i think improved model performance. ","2023-10-11: SEIRH model variant was fit bc KM27 model was not yet complete. 2023-10-12: KM27 model is completed and ready for training/submission for the following week. 2023-10-18: KM27 model was incorrect last week. i spernt the entire week correcting the model. Thete is a final bug in the mehtod i use to aggregate from day forecasts to week forecasts. i will need to solve this bug before the next submission date. 2023-11-01:Corrected KM27 and added in knowledge about flu: R0 is constrained to be between 1.1 and 2.5, vaccine proprtion is between 0.2 and 0.8. Generatioanl interval is Neg Bin and on average 3.6 days. Changed from Normal observational process to GammaPoisson. The GP is good but very computationally slow. Still cranky about how sensitive this model is to changes. This round ill try to focus on assigning seasons to distinct clusters. 2023-11-08:Added in priors for peak intensity and timing, and for the first two weeks of the season (MMWR 40 and 41). This adds stability to the model and speed. 2023-11-23:Found two major bugs in the code. One is frustrating and the other very subtle. First bug was training on hospitalization data the same as last year. i missed the message about a change in the hosp data and so have been training my model on the wrong data up until now. The second bug is a subtle fix in the code that took some time to find. 2023-12-09: Added back QO data, truncated to be two weeks before the forecast submission date. Forecasts look ok except for FIP=72. i'll need to investigate. 2023-12-16: Ran versions without and without the QO data. For the majority of locations i chose the model that included QO data. There were 3 locations, 30,37,56 where i thought the model without QO data was better and so chose those forecasts instead. 2023-12-30: Not much to report. Still running a few slightly different versions of the model and then hand picking which model to submit for which location. 2024-03-20: Not in love with Loc 2 but otherwise forecasts look ok 2024-11-17: new model up and running. Looks like good results visually. 2024-11-27: didnt have much time to work on hosp forecasts this week. Need to account for these outlier states. 2024-12-04: Forecasts look ok for the most part. SOme discrepancies in states. Didnt have time to improve the model this week. 2025-01-08:Made pretty significant updates a few weeks ago that i think improved model performance. ",FALSE,TRUE,FALSE,FALSE
"LUcompUncertLab-puca","LUcompUncertLab","puca","LUcompUncertLab","puca",TRUE,"suppose you are given a tx(s-1) dataset y of past incident flu hosps and a current, partially observed season y which when complete will be tx1. pre-process y by smoothing with a gaussian filter (sd =2). then, puca (poo-kah) is the following model y = f @ p + u + errx y = (f @ q + u )*s + c + erry where f is a txl matrix of latent time series and l is strictly smaller than s-1. p is a lx(s-1) matrix and q is a lx1 vector of weights for the columns in f. u is a set of s-1 reverse random walks and u is a reverse random walk that are linked hierarchically. errx is a n(0,sigma) and erry is a n(0,s*sigma) . ","Suppose you are given a TX(S-1) dataset Y of past incident flu hosps and a current, partially observed season y which when complete will be TX1. Pre-process Y by smoothing with a Gaussian filter (sd =2). Then, puca (poo-kah) is the following model Y = F @ P + U + errx y = (F @ Q + u )*s + c + erry Where F is a TXL matrix of latent time series and L is strictly smaller than S-1. P is a LX(S-1) matrix and Q is a LX1 vector of weights for the columns in F. U is a set of S-1 reverse random walks and u is a reverse random walk that are linked hierarchically. errx is a N(0,sigma) and erry is a N(0,s*sigma) . ",FALSE,FALSE,FALSE,TRUE
"MDPredict-SIRS","MDPredict","SIRS","Maryland Predict","modified susceptible-infectious-recovered-susceptible model",TRUE,"a sirs model is used to generate forecasts. key model parameters such as the transmission rate and the duration of immunity are estimated through mcmc by comparing simulated data to observed hospitalization data, allowing for uncertainty quantification. the model also incorporates a time-dependent transmission rate that fluctuates seasonally and additional periods of increased/decreased transmission based on historical trends. imports of cases are included to account for influenza infections introduced through international travel. spatial correlation is not considered.","A SIRS model is used to generate forecasts. Key model parameters such as the transmission rate and the duration of immunity are estimated through MCMC by comparing simulated data to observed hospitalization data, allowing for uncertainty quantification. The model also incorporates a time-dependent transmission rate that fluctuates seasonally and additional periods of increased/decreased transmission based on historical trends. Imports of cases are included to account for influenza infections introduced through international travel. Spatial correlation is not considered.",FALSE,TRUE,FALSE,FALSE
"Metaculus-cp","Metaculus","cp","Metaculus","Metaculus Community Prediction",TRUE,"the metaculus community prediction is a consensus of recent forecaster predictions. it is designed to respond to big changes in forecaster opinion while still being fairly insensitive to outliers. for every forecaster, on ly their most recent prediction is kept. predictions are assigned a number n, from oldest to newest (oldest is 1). every prediction is weighted proportional to exp(sqrt(n)). predictions are then aggregated by creating a mixture distribution of all available weighted forecasts.","The Metaculus Community Prediction is a consensus of recent forecaster predictions. It is designed to respond to big changes in forecaster opinion while still being fairly insensitive to outliers. For every forecaster, on ly their most recent prediction is kept. Predictions are assigned a number n, from oldest to newest (oldest is 1). Every prediction is weighted proportional to exp(sqrt(n)). Predictions are then aggregated by creating a mixture distribution of all available weighted forecasts.",TRUE,FALSE,FALSE,TRUE
"MIGHTE-Joint","MIGHTE","Joint","MIGHTE","Joint time series ensemble",TRUE,"weighted ensemble of time-series models, including lightgbm, arima models, autoregressive models (argo2).","Weighted ensemble of time-series models, including LightGBM, ARIMA models, autoregressive models (ARGO2).",TRUE,FALSE,TRUE,TRUE
"MIGHTE-Nsemble","MIGHTE","Nsemble","MIGHTE","Time series ensemble",TRUE,"we use an adaptive ensemble that combines probabilistic forecasts from three component model types: arima, several two-stage lightgbmlss models, and an ensemble of lightgbm point models. the ensemble weights are dynamically updated for each location and horizon based on the inverse weighted interval score (wis) of each component's performance over the most recent 4-week lookback window. the component models are: 1. arima: state univariate models are auto-tuned for each location. uncertainty is modeled using empirical error distributions derived from rolling validation windows. 2. lightgbm (two-stage): a gradient boosting approach that utilizes a rich set of engineered features. the first stage predicts the conditional mean and the second stage predicts the conditional scale/variance using a gaussian likelihood (lightgbmlss). input features include dense lags (1-12 weeks), rolling statistics (means, std devs, min/max over 2-12 week windows), momentum indicators (differences, % change), and cyclical seasonal encodings (sine/cosine of week/month). 3. lightgbm (point): a an averaged ensemble of multiple lightgbm point models that use lags of self and other states as covariates, and generates quantiles from the errors of out of sample seasons.","We use an Adaptive Ensemble that combines probabilistic forecasts from three component model types: ARIMA, several two-stage LightGBMLSS models, and an ensemble of LightGBM point models. The ensemble weights are dynamically updated for each location and horizon based on the inverse Weighted Interval Score (WIS) of each component's performance over the most recent 4-week lookback window. The component models are: 1. ARIMA: State univariate models are auto-tuned for each location. Uncertainty is modeled using empirical error distributions derived from rolling validation windows. 2. LightGBM (Two-Stage): A gradient boosting approach that utilizes a rich set of engineered features. The first stage predicts the conditional mean and the second stage predicts the conditional scale/variance using a Gaussian likelihood (LightGBMLSS). Input features include dense lags (1-12 weeks), rolling statistics (means, std devs, min/max over 2-12 week windows), momentum indicators (differences, % change), and cyclical seasonal encodings (sine/cosine of week/month). 3. LightGBM (Point): A an averaged ensemble of multiple LightGBM point models that use lags of self and other states as covariates, and generates quantiles from the errors of out of sample seasons.",TRUE,FALSE,TRUE,TRUE
"MOBS-EpyStrain_Flu","MOBS","EpyStrain_Flu","MOBS Lab at Northeastern University","Epydemix Flu Forecasting Model",TRUE,"the epydemix framework integrates demographic data with synthetic, high-resolution contact matrices that represent daily mixing across households, schools, workplaces, and community settings at a state-specific level. the infection dynamics are simulated using an age-structured slir-like model which is extended to include asymptomatic transmission and hospitalization. the model incorporates vaccination, school calendars that modulate the school contact matrix, seasonal variation in transmissibility, and residual immunity. model parameters are calibrated to hhs hospitalization data using approximate bayesian computation.","The Epydemix framework integrates demographic data with synthetic, high-resolution contact matrices that represent daily mixing across households, schools, workplaces, and community settings at a state-specific level. The infection dynamics are simulated using an age-structured SLIR-like model which is extended to include asymptomatic transmission and hospitalization. The model incorporates vaccination, school calendars that modulate the school contact matrix, seasonal variation in transmissibility, and residual immunity. Model parameters are calibrated to HHS hospitalization data using approximate Bayesian computation.",FALSE,TRUE,FALSE,TRUE
"MOBS-GLEAM_FLUH","MOBS","GLEAM_FLUH","MOBS Lab at Northeastern University","GLEAM Flu Forecasting Model",TRUE,"the gleam framework is based on a metapopulation approach in which the us is divided into geographical subpopulations. human mobility between subpopulations is represented on a network.  this mobility data layer identifies the numbers of individuals traveling from one sub-population to  another. the mobility network is made up of different kinds of mobility processes from short-range commuting between nearby subpopulations to flights. to model short-range mobility  such as commuting or car travel, we rely on databases collected from the offices of statistics of 30  countries on five continents. superimposed on the us population and mobility layers is an compartmental epidemic model that defines the infection and population dynamics. ","The GLEAM framework is based on a metapopulation approach in which the US is divided into geographical subpopulations. Human mobility between subpopulations is represented on a network.  This mobility data layer identifies the numbers of individuals traveling from one sub-population to  another. The mobility network is made up of different kinds of mobility processes from short-range commuting between nearby subpopulations to flights. To model short-range mobility  such as commuting or car travel, we rely on databases collected from the Offices of Statistics of 30  countries on five continents. Superimposed on the US population and mobility layers is an compartmental epidemic model that defines the infection and population dynamics. ",FALSE,TRUE,FALSE,FALSE
"MOBS-GLEAM_RL_FLUH","MOBS","GLEAM_RL_FLUH","MOBS Lab at Northeastern University","GLEAM Flu Reinforcement Learning Forecasting Model",TRUE,"this model uses tabular q-learning to forecast flu hospitalizations by learning to select relevant epidemic trajectories generated by the gleam model. the system operates over a 256-action space where each action represents selection of a specific gleam-simulated trajectory. the state representation combines epidemic features: trend angle and magnitude. through reinforcement learning, the agent learns an optimal policy for selecting which gleam trajectories provide the best forecasts given the current epidemic context. the selected trajectories are used to generate probabilistic forecasts of future hospitalizations.","This model uses tabular Q-learning to forecast flu hospitalizations by learning to select relevant epidemic trajectories generated by the GLEAM model. The system operates over a 256-action space where each action represents selection of a specific GLEAM-simulated trajectory. The state representation combines epidemic features: trend angle and magnitude. Through reinforcement learning, the agent learns an optimal policy for selecting which GLEAM trajectories provide the best forecasts given the current epidemic context. The selected trajectories are used to generate probabilistic forecasts of future hospitalizations.",FALSE,FALSE,FALSE,TRUE
"NAU-epymorph","NAU","epymorph","Northern Arizona University","epymorph compartmental model",TRUE,"a compartmental model with a time-dependent transmission rate. model state and parameters are fit using a particle filter.","A compartmental model with a time-dependent transmission rate. Model state and parameters are fit using a particle filter.",FALSE,TRUE,FALSE,FALSE
"NAU-FourCAT","NAU","FourCAT","NAU","Fourier Calendar Aware Transformer",TRUE,"a transformer incoporating fourier features and multi-horizon quantile regression trained with a combined pinball and wis objective.","A transformer incoporating Fourier features and multi-horizon quantile regression trained with a combined pinball and WIS objective.",FALSE,FALSE,FALSE,TRUE
"NAU-vulPES","NAU","vulPES","NAU","vulPES",TRUE,"currently uses the average prediction across all models for each target and then rounds to create integers and normalizes for pdf functions to sum to 1.","Currently uses the average prediction across all models for each target and then rounds to create integers and normalizes for pdf functions to sum to 1.",TRUE,FALSE,FALSE,TRUE
"NEU_ISI-AdaptiveEnsemble","NEU_ISI","AdaptiveEnsemble","MOBS Lab at Northeastern University and ISI Foundation","Adaptive Ensemble",TRUE,"the adaptive ensemble approach combines projections from the flu scenario modeling hub across all defined scenarios. the approach leverages new surveillance data points to generate an adaptive ensemble by dynamically rejecting the subset of individual models' trajectories that do not closely match the observed trends.","The adaptive ensemble approach combines projections from the Flu Scenario Modeling Hub across all defined scenarios. The approach leverages new surveillance data points to generate an adaptive ensemble by dynamically rejecting the subset of individual models' trajectories that do not closely match the observed trends.",TRUE,FALSE,FALSE,TRUE
"NEU_ISI-FluBcast","NEU_ISI","FluBcast","MOBS Lab at Northeastern University and ISI Foundation","Flu Behavioural Model",TRUE,"flubcast is a compartmental behavioral feedback model that simulates the feedback loop by explicitly representing different behavioral classes within the population. specifically, it is a stochastic, age-structured compartmental model that integrates behavioral changes through a new compartment of risk-averse susceptible individuals.","FluBcast is a compartmental behavioral feedback model that simulates the feedback loop by explicitly representing different behavioral classes within the population. Specifically, it is a stochastic, age-structured compartmental model that integrates behavioral changes through a new compartment of risk-averse susceptible individuals.",FALSE,TRUE,FALSE,FALSE
"NIH-Flu_ARIMA","NIH","Flu_ARIMA","Fogarty International Center, NIH","ARIMA model with flu-related covariates",TRUE,"we model flu hospitalizations in each location using dynamic harmonic regression with arma errors and exogenous covariates for vaccination, flu virus subtype circulation, and influenza transmission rates. to calibrate models, we use 7 years of historical data, including flu hospitalizations, influenza-like illness rates, influenza a subtype circulation, flu virus transmissibility, and vaccine coverage and effectiveness. to estimate weekly rt, we fit semi-mechanistic bayesian epidemic models to observed ili+ (ili x % positive) rates in each season.","We model flu hospitalizations in each location using dynamic harmonic regression with ARMA errors and exogenous covariates for vaccination, flu virus subtype circulation, and influenza transmission rates. To calibrate models, we use 7 years of historical data, including flu hospitalizations, influenza-like illness rates, influenza A subtype circulation, flu virus transmissibility, and vaccine coverage and effectiveness. To estimate weekly Rt, we fit semi-mechanistic Bayesian epidemic models to observed ILI+ (ILI x % positive) rates in each season.",FALSE,TRUE,FALSE,TRUE
"NU-PGF_FLUH","NU","PGF_FLUH","Branching process collective at Northeastern University","PGF influenza forecasting model",TRUE,"a branching process model analytically solved with probability generating functions (pgfs), enabling bayesian inference of the time-varying reproduction number and mechanistic modeling of immunity. the branching process approximates the full stochastic evolution of a discrete-time, single-population, slir compartmental model, extended to evaluate weekly hospitalizations resulting from infections.","A branching process model analytically solved with probability generating functions (PGFs), enabling Bayesian inference of the time-varying reproduction number and mechanistic modeling of immunity. The branching process approximates the full stochastic evolution of a discrete-time, single-population, SLIR compartmental model, extended to evaluate weekly hospitalizations resulting from infections.",FALSE,TRUE,FALSE,TRUE
"NU_UCSD-GLEAM_AI_FLUH","NU_UCSD","GLEAM_AI_FLUH","Northeastern University & University of California San Diego","GLEAM_AI Flu Forecasting Model",TRUE,"this a deep surrogate model trained to mimic mobs-gleam_fluh model. gleam_fluh is based on a metapopulation approach in which the world is divided into geographical subpopulations. 
human mobility between subpopulations is represented on a network. this mobility data layer identifies the numbers of individuals traveling from one sub-population to another. 
the mobility network is made up of different kinds of mobility processes, from short-range commuting between nearby subpopulations to intercontinental flights. 
to model short-range mobility such as commuting or car travel, we rely on databases collected from the offices of statistics of 30 countries on five continents. 
superimposed on the worldwide population and mobility layers is an agent-based epidemic model that defines the infection and population dynamics.","This a deep surrogate model trained to mimic MOBS-GLEAM_FLUH model. GLEAM_FLUH is based on a metapopulation approach in which the world is divided into geographical subpopulations. 
Human mobility between subpopulations is represented on a network. This mobility data layer identifies the numbers of individuals traveling from one sub-population to another. 
The mobility network is made up of different kinds of mobility processes, from short-range commuting between nearby subpopulations to intercontinental flights. 
To model short-range mobility such as commuting or car travel, we rely on databases collected from the Offices of Statistics of 30 countries on five continents. 
Superimposed on the worldwide population and mobility layers is an agent-based epidemic model that defines the infection and population dynamics.",FALSE,TRUE,TRUE,FALSE
"OHT_JHU-nbxd","OHT_JHU","nbxd","One Health Trust and Johns Hopkins University","NBEATS exogenous covariate decoder",TRUE,"neural network model based on n-beats (oreshkin et al. 2000), which is a residual block type architecture that generates point forecasts from univariate time series data. the network accepts a fixed lookback window of time points as input, and has a set number of output nodes corresponding to the length of the forecast horizon. we extend the network with additional residual blocks that output error variance forecasts (evaluated using a likelihood loss function) which allows generating quantile forecasts, assuming a parametric (gamma) error distribution. additional predictor variables are incorporated using a temporal convolutional network (tcn; bai et al. 2018). the tcn accepts one input channel for each predictor time series (or static variable), including past values of the target variable, and outputs a single channel with the same length as the lookback window. the tcn output channel is used as the input to the extended n-beats network. each value in the tcn output sequence is a non-linear combination of the predictor variables at that point and all previous points in the lookback window, which preserves the temporal structure of the input. forecast is the median of an ensemble of such models with varying lookback window sizes and random initializations.","Neural network model based on N-BEATS (Oreshkin et al. 2000), which is a residual block type architecture that generates point forecasts from univariate time series data. The network accepts a fixed lookback window of time points as input, and has a set number of output nodes corresponding to the length of the forecast horizon. We extend the network with additional residual blocks that output error variance forecasts (evaluated using a likelihood loss function) which allows generating quantile forecasts, assuming a parametric (gamma) error distribution. Additional predictor variables are incorporated using a temporal convolutional network (TCN; Bai et al. 2018). The TCN accepts one input channel for each predictor time series (or static variable), including past values of the target variable, and outputs a single channel with the same length as the lookback window. The TCN output channel is used as the input to the extended N-BEATS network. Each value in the TCN output sequence is a non-linear combination of the predictor variables at that point and all previous points in the lookback window, which preserves the temporal structure of the input. Forecast is the median of an ensemble of such models with varying lookback window sizes and random initializations.",TRUE,FALSE,TRUE,FALSE
"PSI-PROF","PSI","PROF","Predictive Science Inc.","Package for Respiratory Disease Open-source Forecasting",TRUE,"the prof routines perform a deterministic fit of our compartmental sir[h]2 model to daily hospitalization incidence profiles. the model includes a hospitalization compartment which is split into two sub-compartments. this split ensures that the model preserves the correct generation time (tg) and that the ratio between cumulative recovered and hospitalized individuals is determined by the infection-hospitalization-ratio. the transmission-rate coefficient (beta) is a time-dependent function of 2 or more arc-tangents.  the model fit is inferred by an mcmc procedure. it is followed by stochastic simulations through the forecast time-window using the inferred parameter distributions and a daily cadence which is then aggregated to weekly incidence to produce the forecasts.  where there is little-to-no epi signal in the data, a baseline statistical model is substituted for the mechanistic model.  this model is similar to the previous model 'psi-dice', but in an updated computational framework (https://github.com/predsci/prof).","The PROF routines perform a deterministic fit of our compartmental SIR[H]2 model to daily hospitalization incidence profiles. The model includes a hospitalization compartment which is split into two sub-compartments. This split ensures that the model preserves the correct generation time (Tg) and that the ratio between cumulative recovered and hospitalized individuals is determined by the infection-hospitalization-ratio. The transmission-rate coefficient (beta) is a time-dependent function of 2 or more arc-tangents.  The model fit is inferred by an MCMC procedure. It is followed by stochastic simulations through the forecast time-window using the inferred parameter distributions and a daily cadence which is then aggregated to weekly incidence to produce the forecasts.  Where there is little-to-no epi signal in the data, a baseline statistical model is substituted for the mechanistic model.  This model is similar to the previous model 'PSI-DICE', but in an updated computational framework (https://github.com/predsci/PROF).",FALSE,TRUE,FALSE,TRUE
"PSI-PROF_beta","PSI","PROF_beta","Predictive Science Inc.","Package for Respiratory Disease Open-source Forecasting (beta version)",TRUE,"the prof routines perform a deterministic fit of our compartmental sir[h]2 model to daily hospitalization incidence profiles. the model includes a hospitalization compartment which is split into two sub-compartments. this split ensures that the model preserves the correct generation time (tg) and that the ratio between cumulative recovered and hospitalized individuals is determined by the infection-hospitalization-ratio. the transmission-rate coefficient (beta) is a time-dependent function of 2 or more arc-tangents.  the model fit is inferred by an mcmc procedure. it is followed by stochastic simulations through the forecast time-window using the inferred parameter distributions and a daily cadence which is then aggregated to weekly incidence to produce the forecasts.  where there is little-to-no epi signal in the data, a baseline statistical model is substituted for the mechanistic model.  this model is similar to our standard model 'psi-prof', but with the addition of vaccinated compartments for susceptibles and infectious, and with deterministic simulations through the forecast time window. update 2023-10-10: vaccine efficacy against severe disease set at 0.52 based on southern hemisphere results.","The PROF routines perform a deterministic fit of our compartmental SIR[H]2 model to daily hospitalization incidence profiles. The model includes a hospitalization compartment which is split into two sub-compartments. This split ensures that the model preserves the correct generation time (Tg) and that the ratio between cumulative recovered and hospitalized individuals is determined by the infection-hospitalization-ratio. The transmission-rate coefficient (Beta) is a time-dependent function of 2 or more arc-tangents.  The model fit is inferred by an MCMC procedure. It is followed by stochastic simulations through the forecast time-window using the inferred parameter distributions and a daily cadence which is then aggregated to weekly incidence to produce the forecasts.  Where there is little-to-no epi signal in the data, a baseline statistical model is substituted for the mechanistic model.  This model is similar to our standard model 'PSI-PROF', but with the addition of vaccinated compartments for Susceptibles and Infectious, and with deterministic simulations through the forecast time window. Update 2023-10-10: Vaccine efficacy against severe disease set at 0.52 based on Southern Hemisphere results.",FALSE,TRUE,FALSE,TRUE
